D'Angelo Barksdale
Rosy McHargue
Joyce Jameson
Colin Murphy (Days of Our Lives)
Nancy Malone
E. J. Peaker
Bulkington (character Moby-Dick)
Tom Noonan
Human Torch
George Takei
Harry Schumm
Ashlyne Huff
Robert F. Colesberry
Marcia Gay Harden
Susan Batson
Carey Wilson (writer)
Torres (musician)
Sam Sheppard
Debora Rabbai
Tony Papenfuss
Charles West (actor)
Kathy Barr
Otis Worldwide
Jessica Alba
Everett McGill
Meg Whitman
Bobby Duncum Jr.
Le'Andria Johnson
John Waters
Sarah Burgess (singer)
Donna Heka
Robert Yount
Peak (automotive products)
Pierre Watkin
Kevin Fret
Elda Vokel
Irene Dailey
Amy Poehler
Vanessa Marcil
Jamie Dinan
Kevin Jonas
George Lessey
Kilo Kish
Rob Tyner
Buster Brown
Shaggy Rogers
Ed Quinn
Wilma Flintstone
Jake Luhrs
Blanche Cornwall
Category:Andrew Johnson
Virginia Davis
Tyrone Davis
Frankie Jaxon
Robert Warwick
Big Ben Bolt
Martin Sheen
Chief Tahachee
Scott Foley
Janet Adair
Jay Mohr
Gnash (musician)
Richard Holt Locke
Jane Milmore
Actual Wolf
Sonny Terry
John Menard Jr.
Richard Chamberlain
Warren Oates
Thomas Forrester
Charles Willis Lane
Rob Van Dam
Keye Luke
Donna Anderson
John Simoneaux
Jane Gilbert (actress)
May Wallace
Meleana (musician)
Amy Walker
Manon (character)
Howard Claney
Elliott Gilbert
Arizona Zervas
Eddie Foy III
Eddy Howard
Allie DiMeco
Raymond West (character)
Mitzi Gould
Trapper Schoepp
Cheryl Hines
Izzy Davies
Cuisinart
Scarecrow (Oz)
Blanche Calloway
Victor Potel
Josie Tigertail
Category:Bond girls
Pat Crowley
Erland Van Lidth De Jeude
John Carroll Lynch
Michelle Stafford
Joe Bonamassa
Jack Stapp
Sydney Walker
Mary Nell Santacroce
Elizabeth Schultz Rigg
Marshall Pinckney Wilder
Harriet Jones
Gordon Westcott
Emmylou Harris
Gloria Abbott Bardwell
Clegg Hoyt
Ruelle (singer)
Ray Sharpe
Carmel Jackson
Dave Guard
"Mary Perkins, On Stage"
Zoe Carpenter
Fennec Shand
David Fisher (Six Feet Under)
Haley Bennett
Jason Brooks (actor)
Louis Anger
Olive Tell
Elmer Booth
Hazel Buckham
Lincoln Stedman
Walter Huston
Wong (Marvel Comics)
Brika
William J. Poorvu
Bert Convy
Izzy Stradlin
Earl Poole Ball
Edith Luckett Davis
Velma Kelly
Kirk Kerkorian
Daniel Bashta
Michelle Shocked
Scott Lucas (musician)
Etta Lee
Harry Spear
Sir (singer)
Gail Fisher
Virginia Downing
Phil Leeds
Louis Nye
Arthur Conrad (actor)
Archie Lang (actor)
Renee Torres
Captain Ahab
Siena Liggins
Travis Shallow
Alfred Drake
Good Rockin' Charles
Frank Daniels
George Argyros
AmaLee
Trent Tomlinson
Gregg Henry
Pippa Saunders
Ernest Whitman
Brian Bloom
Al Kikume
Donyale Luna
Josh Duhamel
Minnie Palmer
Lin-Manuel Miranda
Kevin Fisher (The Young and the Restless)
Al King
Edward Norris
Bennye Gatteys
Rosie Webster
Janice Kent
Bridget Forrester
Matt Dillon
Tamera Mowry
Myrna Dell
Matt Simons
Andrew Dijorio
Walt Lloyd
Richard Fairbank
Jamie Lee Curtis
KennyHoopla
Chandler Moore
Jesse Hubbard (All My Children)
Dorothy Devore
Ruby Dandridge
Gene McFadden
Beth Toussaint
Larry Birdsong
Marcella Daly
Thomas Kurihara
Alicia Moreda
Rachael MacFarlane
Snufkin
Kenneth Choi
Mehmet Osman
Genevieve Hamper
Abra (singer)
Molly Chance
Lauren-Ashley
Justine Miceli
Frank Barlow (Coronation Street)
Riki Michele
Adam Hambrick
Jonathon McKenna
George Hernandez
Alexander Asro
Edward Roseman
Mycroft Holmes
Geraldine Court
Tracy Flick
Kingsley Benedict
Alice Dixson
John Dierkes
Sidney Greenbush
Craig Wasson
Juleen Compton
Byron Morrow
Gina Thompson
Doris Fisher (songwriter)
George Younce
The BFG
Lorraine Bracco
Joanne Shenandoah
Fay Lanphier
Corinne Malvern
Brother Will Hairston
Lincoln Maazel
Storm (Marvel Comics)
Darnell Garcia
Delta Burke
Agnes Ayres
Frankie Lee (Americana musician)
Chris Akinyemi
Olive Ann Alcorn
Julie Strain
Jenny O'Hara
Jane Peyton
Lavinia Turner
Molly Lewis
Doris Singleton
Joan Fontaine
Yohanna Logan
Hedy Burress
Kelis
Andrei Nikolayevich Bolkonsky
Don Keefer
Chill Wills
Harry Cheshire
Peter Gallagher
Corbett Monica
Scooter Ward
Snitz Edwards
Lloyd Richards
Forky
Nancy Carell
Sabrina Lloyd
Lela Bliss
Kathryn Joosten
Malcolm Williams (actor)
Houston (singer)
Bernard Bragg
Kate Vernon
Amber Holcomb
Hans Schumm
Monte Hale
Nestor Serrano
Stuart Neilson
Brett Anderson (American musician)
Amy Holland
Strand of Oaks
Mitzeee Minniver
Phyllis Hodges Boyce
Misir Ali
Paul A. Partain
Lee Denson
Howie Dorough
Eugene Hütz
Linda Gary
Johnny Duncan (bluegrass musician)
Jim McKelvey
Joseph Franz (director)
Pepe Serna
Peter Evans (actor)
Megatron
Sandahl Bergman
Mary Miller (Chipettes)
Evelyn Parnell
Gina Philips
Jay Adler
Rainie Cross
Sheila Kelley (American actress)
Valerie Pitman
Judy Collins
Margaret Mayo (playwright)
Leon Ames
Olivia (singer)
Eddie Windass
Richard Schiff
William Wagner (actor)
Proposition Joe
Douglas Fairbanks
Rebecca Metz
Francine York
Kate Voegele
Wayne Perry (country music)
Dick Purcell
Rya Kihlstedt
Chloe Bennet
Greg Kelsey
Effie Ellsler
Eden Baldwin
Alex Rocco
Marjorie Deanne
John E. Burch
Lily Butterfield
Jack Berch
Swoosie Kurtz
Meg Hutchinson
Chiquita Brands International
Tess of the d'Urbervilles
William Herbert Hunt
Timothy Boyle
Sunny Skylar
Davy Jones (character)
Big Maceo Merriweather
Natalie Taylor (singer)
Suzanne Friedline
Melanie Hamilton
Terry O'Sullivan
Steven Wright
Eric Roberson
Hana Shimozumi
Paul Comi
Demi Lovato
Lewis James
Armida (actress)
Sam Endicott
Thomas Mellon Evans
Madeline Bassett
Wolf Boy Ken
John Doucette
Brad Harris
David Boring
Reg'lar Fellers
Stoker the Broker
Frankie Palmeri
Brandon Jones (actor)
Maria Palmer
